individual_id,island,sex,year,species
adelie_1,Torgersen,male,2007,Adelie
adelie_2,Torgersen,female,2007,Adelie
adelie_3,Torgersen,female,2007,Adelie
adelie_4,Torgersen,female,2007,Adelie
adelie_5,Torgersen,male,2007,Adelie
adelie_6,Torgersen,female,2007,Adelie
adelie_7,Torgersen,male,2007,Adelie
adelie_8,Torgersen,,2007,Adelie
adelie_9,Torgersen,,2007,Adelie
adelie_10,Torgersen,,2007,Adelie
adelie_11,Torgersen,,2007,Adelie
adelie_12,Torgersen,female,2007,Adelie
adelie_13,Torgersen,male,2007,Adelie
adelie_14,Torgersen,male,2007,Adelie
adelie_15,Torgersen,female,2007,Adelie
adelie_16,Torgersen,female,2007,Adelie
adelie_17,Torgersen,male,2007,Adelie
adelie_18,Torgersen,female,2007,Adelie
adelie_19,Torgersen,male,2007,Adelie
adelie_20,Biscoe,female,2007,Adelie
adelie_21,Biscoe,male,2007,Adelie
adelie_22,Biscoe,female,2007,Adelie
adelie_23,Biscoe,male,2007,Adelie
adelie_24,Biscoe,male,2007,Adelie
adelie_25,Biscoe,female,2007,Adelie
adelie_26,Biscoe,male,2007,Adelie
adelie_27,Biscoe,female,2007,Adelie
adelie_28,Biscoe,female,2007,Adelie
adelie_29,Biscoe,male,2007,Adelie
adelie_30,Dream,female,2007,Adelie
adelie_31,Dream,male,2007,Adelie
adelie_32,Dream,female,2007,Adelie
adelie_33,Dream,male,2007,Adelie
adelie_34,Dream,female,2007,Adelie
adelie_35,Dream,male,2007,Adelie
adelie_36,Dream,male,2007,Adelie
adelie_37,Dream,female,2007,Adelie
adelie_38,Dream,female,2007,Adelie
adelie_39,Dream,male,2007,Adelie
adelie_40,Dream,female,2007,Adelie
adelie_41,Dream,male,2007,Adelie
adelie_42,Dream,female,2007,Adelie
adelie_43,Dream,male,2007,Adelie
adelie_44,Dream,female,2007,Adelie
adelie_45,Dream,male,2007,Adelie
adelie_46,Dream,male,2007,Adelie
adelie_47,Dream,,2007,Adelie
adelie_48,Dream,female,2007,Adelie
adelie_49,Dream,male,2007,Adelie
adelie_50,Biscoe,female,2008,Adelie
adelie_51,Biscoe,male,2008,Adelie
adelie_52,Biscoe,female,2008,Adelie
adelie_53,Biscoe,male,2008,Adelie
adelie_54,Biscoe,female,2008,Adelie
adelie_55,Biscoe,male,2008,Adelie
adelie_56,Biscoe,female,2008,Adelie
adelie_57,Biscoe,male,2008,Adelie
adelie_58,Biscoe,female,2008,Adelie
adelie_59,Biscoe,male,2008,Adelie
adelie_60,Biscoe,female,2008,Adelie
adelie_61,Biscoe,male,2008,Adelie
adelie_62,Biscoe,female,2008,Adelie
adelie_63,Biscoe,male,2008,Adelie
adelie_64,Biscoe,female,2008,Adelie
adelie_65,Biscoe,male,2008,Adelie
adelie_66,Biscoe,female,2008,Adelie
adelie_67,Biscoe,male,2008,Adelie
adelie_68,Torgersen,female,2008,Adelie
adelie_69,Torgersen,male,2008,Adelie
adelie_70,Torgersen,female,2008,Adelie
adelie_71,Torgersen,male,2008,Adelie
adelie_72,Torgersen,female,2008,Adelie
adelie_73,Torgersen,male,2008,Adelie
adelie_74,Torgersen,female,2008,Adelie
adelie_75,Torgersen,male,2008,Adelie
adelie_76,Torgersen,female,2008,Adelie
adelie_77,Torgersen,male,2008,Adelie
adelie_78,Torgersen,female,2008,Adelie
adelie_79,Torgersen,male,2008,Adelie
adelie_80,Torgersen,female,2008,Adelie
adelie_81,Torgersen,male,2008,Adelie
adelie_82,Torgersen,female,2008,Adelie
adelie_83,Torgersen,male,2008,Adelie
adelie_84,Dream,female,2008,Adelie
adelie_85,Dream,male,2008,Adelie
adelie_86,Dream,male,2008,Adelie
adelie_87,Dream,female,2008,Adelie
adelie_88,Dream,male,2008,Adelie
adelie_89,Dream,female,2008,Adelie
adelie_90,Dream,female,2008,Adelie
adelie_91,Dream,male,2008,Adelie
adelie_92,Dream,female,2008,Adelie
adelie_93,Dream,male,2008,Adelie
adelie_94,Dream,female,2008,Adelie
adelie_95,Dream,male,2008,Adelie
adelie_96,Dream,female,2008,Adelie
adelie_97,Dream,male,2008,Adelie
adelie_98,Dream,female,2008,Adelie
adelie_99,Dream,male,2008,Adelie
adelie_100,Biscoe,female,2009,Adelie
adelie_101,Biscoe,male,2009,Adelie
adelie_102,Biscoe,female,2009,Adelie
adelie_103,Biscoe,male,2009,Adelie
adelie_104,Biscoe,female,2009,Adelie
adelie_105,Biscoe,male,2009,Adelie
adelie_106,Biscoe,female,2009,Adelie
adelie_107,Biscoe,male,2009,Adelie
adelie_108,Biscoe,female,2009,Adelie
adelie_109,Biscoe,male,2009,Adelie
adelie_110,Biscoe,female,2009,Adelie
adelie_111,Biscoe,male,2009,Adelie
adelie_112,Biscoe,female,2009,Adelie
adelie_113,Biscoe,male,2009,Adelie
adelie_114,Biscoe,female,2009,Adelie
adelie_115,Biscoe,male,2009,Adelie
adelie_116,Torgersen,female,2009,Adelie
adelie_117,Torgersen,male,2009,Adelie
adelie_118,Torgersen,female,2009,Adelie
adelie_119,Torgersen,male,2009,Adelie
adelie_120,Torgersen,female,2009,Adelie
adelie_121,Torgersen,male,2009,Adelie
adelie_122,Torgersen,female,2009,Adelie
adelie_123,Torgersen,male,2009,Adelie
adelie_124,Torgersen,female,2009,Adelie
adelie_125,Torgersen,male,2009,Adelie
adelie_126,Torgersen,female,2009,Adelie
adelie_127,Torgersen,male,2009,Adelie
adelie_128,Torgersen,female,2009,Adelie
adelie_129,Torgersen,male,2009,Adelie
adelie_130,Torgersen,female,2009,Adelie
adelie_131,Torgersen,male,2009,Adelie
adelie_132,Dream,female,2009,Adelie
adelie_133,Dream,male,2009,Adelie
adelie_134,Dream,female,2009,Adelie
adelie_135,Dream,male,2009,Adelie
adelie_136,Dream,female,2009,Adelie
adelie_137,Dream,male,2009,Adelie
adelie_138,Dream,female,2009,Adelie
adelie_139,Dream,male,2009,Adelie
adelie_140,Dream,female,2009,Adelie
adelie_141,Dream,male,2009,Adelie
adelie_142,Dream,female,2009,Adelie
adelie_143,Dream,male,2009,Adelie
adelie_144,Dream,female,2009,Adelie
adelie_145,Dream,male,2009,Adelie
adelie_146,Dream,male,2009,Adelie
adelie_147,Dream,female,2009,Adelie
adelie_148,Dream,female,2009,Adelie
adelie_149,Dream,male,2009,Adelie
adelie_150,Dream,female,2009,Adelie
adelie_151,Dream,male,2009,Adelie
