sample	taxonomy	rel_abundance	habitat	Kingdom	Phylum
SRR10070130	Bacteria;Proteobacteria	0.6456070300095892	Riverwater	Bacteria	Proteobacteria
SRR10070130	Bacteria;	0.02343860531652335	Riverwater	Bacteria	Unclassified
SRR10070130	Bacteria;Bacteroidetes	0.22797226981906213	Riverwater	Bacteria	Bacteroidetes
SRR10070130	Bacteria;Acidobacteria	0.004464496250766353	Riverwater	Bacteria	Acidobacteria
SRR10070130	Bacteria;Actinobacteria	0.00925911370317388	Riverwater	Bacteria	Actinobacteria
SRR10070130	Bacteria;Planctomycetes	0.0018078065804159526	Riverwater	Bacteria	Planctomycetes
SRR10070130	Archaea;Thaumarchaeota	0.0018706868092999858	Riverwater	Archaea	Thaumarchaeota
SRR10070130	Bacteria;Firmicutes	0.012497445490701586	Riverwater	Bacteria	Firmicutes
SRR10070130	Bacteria;Chloroflexi	0.00018864068665209942	Riverwater	Bacteria	Chloroflexi
SRR10070130	Bacteria;Ignavibacteriae	0.00017292062943109114	Riverwater	Bacteria	Ignavibacteriae
SRR10070130	Archaea;	0.0006445223460613397	Riverwater	Archaea	Unclassified
SRR10070130	Bacteria;Gemmatimonadetes	0.00017292062943109114	Riverwater	Bacteria	Gemmatimonadetes
SRR10070130	Bacteria;Verrucomicrobia	0.00971499536258312	Riverwater	Bacteria	Verrucomicrobia
SRR10070130	Bacteria;Candidatus_Saccharibacteria	0.02628393567352585	Riverwater	Bacteria	Candidatus_Saccharibacteria
SRR10070130	Archaea;Crenarchaeota	0.00011004040054705799	Riverwater	Archaea	Crenarchaeota
SRR10070130	Bacteria;Parcubacteria	0.0014462452643327621	Riverwater	Bacteria	Parcubacteria
SRR10070130	Bacteria;Aminicenantes	0.00003144011444201657	Riverwater	Bacteria	Aminicenantes
SRR10070130	Bacteria;Latescibacteria	0.0008803232043764639	Riverwater	Bacteria	Latescibacteria
SRR10070130	Archaea;Woesearchaeota	0.003254051844748715	Riverwater	Archaea	Woesearchaeota
SRR10070130	Bacteria;Nitrospirae	0.003631333218052914	Riverwater	Bacteria	Nitrospirae
SRR10070130	Archaea;Pacearchaeota	0.0003458412588621823	Riverwater	Archaea	Pacearchaeota
SRR10070130	Archaea;Euryarchaeota	0.00018864068665209942	Riverwater	Archaea	Euryarchaeota
SRR10070130	Bacteria;Campilobacterota	0.022243880967726722	Riverwater	Bacteria	Campilobacterota
SRR10070130	Bacteria;Fusobacteria	0.003442692531400814	Riverwater	Bacteria	Fusobacteria
SRR10070130	Bacteria;Lentisphaerae	0.000330121201641174	Riverwater	Bacteria	Lentisphaerae
SRR10070131	Bacteria;Proteobacteria	0.6467545394220908	Riverwater	Bacteria	Proteobacteria
SRR10070131	Bacteria;	0.027100802316462568	Riverwater	Bacteria	Unclassified
SRR10070131	Bacteria;Bacteroidetes	0.22442239247149665	Riverwater	Bacteria	Bacteroidetes
SRR10070131	Bacteria;Acidobacteria	0.004795801411594378	Riverwater	Bacteria	Acidobacteria
SRR10070131	Bacteria;Actinobacteria	0.006334077336068046	Riverwater	Bacteria	Actinobacteria
SRR10070131	Bacteria;Planctomycetes	0.002005791156421548	Riverwater	Bacteria	Planctomycetes
SRR10070131	Archaea;Thaumarchaeota	0.001674006153103698	Riverwater	Archaea	Thaumarchaeota
SRR10070131	Bacteria;Firmicutes	0.008928032816553055	Riverwater	Bacteria	Firmicutes
SRR10070131	Bacteria;Chloroflexi	0.00028654159377450685	Riverwater	Bacteria	Chloroflexi
SRR10070131	Bacteria;Ignavibacteriae	0.00022621704771671593	Riverwater	Bacteria	Ignavibacteriae
SRR10070131	Archaea;	0.0008445436448090728	Riverwater	Archaea	Unclassified
SRR10070131	Bacteria;Gemmatimonadetes	0.00004524340954334319	Riverwater	Bacteria	Gemmatimonadetes
SRR10070131	Bacteria;Verrucomicrobia	0.009440791458044278	Riverwater	Bacteria	Verrucomicrobia
SRR10070131	Bacteria;Candidatus_Saccharibacteria	0.02823188755504615	Riverwater	Bacteria	Candidatus_Saccharibacteria
SRR10070131	Archaea;Crenarchaeota	0.0002563793207456114	Riverwater	Archaea	Crenarchaeota
SRR10070131	Bacteria;Parcubacteria	0.0015986004705314592	Riverwater	Bacteria	Parcubacteria
SRR10070131	Bacteria;Latescibacteria	0.0007389756892079387	Riverwater	Bacteria	Latescibacteria
SRR10070131	Archaea;Woesearchaeota	0.0037702841286119324	Riverwater	Archaea	Woesearchaeota
SRR10070131	Bacteria;Nitrospirae	0.0037702841286119324	Riverwater	Bacteria	Nitrospirae
SRR10070131	Archaea;Pacearchaeota	0.00033178500331785003	Riverwater	Archaea	Pacearchaeota
SRR10070131	Archaea;Euryarchaeota	0.00022621704771671593	Riverwater	Archaea	Euryarchaeota
SRR10070131	Bacteria;Campilobacterota	0.024220305242203054	Riverwater	Bacteria	Campilobacterota
SRR10070131	Bacteria;Fusobacteria	0.003634553899981903	Riverwater	Bacteria	Fusobacteria
SRR10070131	Bacteria;Lentisphaerae	0.0003619472763467455	Riverwater	Bacteria	Lentisphaerae
SRR10070132	Bacteria;Proteobacteria	0.6806242537949855	Groundwater	Bacteria	Proteobacteria
SRR10070132	Bacteria;	0.0787139689578714	Groundwater	Bacteria	Unclassified
SRR10070132	Bacteria;Bacteroidetes	0.01087327306839502	Groundwater	Bacteria	Bacteroidetes
SRR10070132	Bacteria;Acidobacteria	0.011299675933822275	Groundwater	Bacteria	Acidobacteria
SRR10070132	Bacteria;Actinobacteria	0.017098754903632954	Groundwater	Bacteria	Actinobacteria
SRR10070132	Bacteria;Planctomycetes	0.0010660071635681392	Groundwater	Bacteria	Planctomycetes
SRR10070132	Archaea;Thaumarchaeota	0.0920603786457445	Groundwater	Archaea	Thaumarchaeota
SRR10070132	Bacteria;Firmicutes	0.03342998464949685	Groundwater	Bacteria	Firmicutes
SRR10070132	Bacteria;Chloroflexi	0.00260105747910626	Groundwater	Bacteria	Chloroflexi
SRR10070132	Bacteria;Ignavibacteriae	0.00021320143271362784	Groundwater	Bacteria	Ignavibacteriae
SRR10070132	Archaea;	0.0022172949002217295	Groundwater	Archaea	Unclassified
SRR10070132	Bacteria;Gemmatimonadetes	0.003283302063789869	Groundwater	Bacteria	Gemmatimonadetes
SRR10070132	Bacteria;Verrucomicrobia	0.008144294729660584	Groundwater	Bacteria	Verrucomicrobia
SRR10070132	Bacteria;Candidatus_Saccharibacteria	0.018122121780658366	Groundwater	Bacteria	Candidatus_Saccharibacteria
SRR10070132	Bacteria;Parcubacteria	0.0017482517482517483	Groundwater	Bacteria	Parcubacteria
SRR10070132	Archaea;Woesearchaeota	0.012323042810847689	Groundwater	Archaea	Woesearchaeota
SRR10070132	Bacteria;Nitrospirae	0.0035391437830462223	Groundwater	Bacteria	Nitrospirae
SRR10070132	Archaea;Pacearchaeota	0.0034965034965034965	Groundwater	Archaea	Pacearchaeota
SRR10070132	Archaea;Euryarchaeota	0.003155381204161692	Groundwater	Archaea	Euryarchaeota
SRR10070132	Bacteria;Campilobacterota	0.015521064301552107	Groundwater	Bacteria	Campilobacterota
SRR10070132	Archaea;Diapherotrites	0.00046904315196998124	Groundwater	Archaea	Diapherotrites
SRR10070133	Bacteria;Proteobacteria	0.6301981081563448	Groundwater	Bacteria	Proteobacteria
SRR10070133	Bacteria;	0.13143256588732227	Groundwater	Bacteria	Unclassified
SRR10070133	Bacteria;Bacteroidetes	0.016241299303944315	Groundwater	Bacteria	Bacteroidetes
SRR10070133	Bacteria;Acidobacteria	0.009994645725504195	Groundwater	Bacteria	Acidobacteria
SRR10070133	Bacteria;Actinobacteria	0.002260693676006901	Groundwater	Bacteria	Actinobacteria
SRR10070133	Bacteria;Planctomycetes	0.0005205544648700101	Groundwater	Bacteria	Planctomycetes
SRR10070133	Archaea;Thaumarchaeota	0.12197334761139865	Groundwater	Archaea	Thaumarchaeota
SRR10070133	Bacteria;Firmicutes	0.034683800345053244	Groundwater	Bacteria	Firmicutes
SRR10070133	Bacteria;Chloroflexi	0.0020822178594800404	Groundwater	Bacteria	Chloroflexi
SRR10070133	Bacteria;Ignavibacteriae	0.0008180141590814445	Groundwater	Bacteria	Ignavibacteriae
SRR10070133	Archaea;	0.001531917425188887	Groundwater	Archaea	Unclassified
SRR10070133	Bacteria;Gemmatimonadetes	0.002677137247902909	Groundwater	Bacteria	Gemmatimonadetes
SRR10070133	Bacteria;Verrucomicrobia	0.008641204116842167	Groundwater	Bacteria	Verrucomicrobia
SRR10070133	Bacteria;Candidatus_Saccharibacteria	0.012537926111011958	Groundwater	Bacteria	Candidatus_Saccharibacteria
SRR10070133	Bacteria;Parcubacteria	0.0017996311499791778	Groundwater	Bacteria	Parcubacteria
SRR10070133	Archaea;Woesearchaeota	0.013564162056041407	Groundwater	Archaea	Woesearchaeota
SRR10070133	Bacteria;Nitrospirae	0.002111963828901184	Groundwater	Bacteria	Nitrospirae
SRR10070133	Archaea;Pacearchaeota	0.0019037420429531798	Groundwater	Archaea	Pacearchaeota
SRR10070133	Archaea;Euryarchaeota	0.0027812481408769113	Groundwater	Archaea	Euryarchaeota
SRR10070133	Bacteria;Campilobacterota	0.0011898387768457374	Groundwater	Bacteria	Campilobacterota
SRR10070133	Archaea;Diapherotrites	0.001055981914450592	Groundwater	Archaea	Diapherotrites
SRR10070134	Bacteria;Proteobacteria	0.6445857757684891	Riverwater	Bacteria	Proteobacteria
SRR10070134	Bacteria;	0.025477951036358762	Riverwater	Bacteria	Unclassified
SRR10070134	Bacteria;Bacteroidetes	0.2269644841193824	Riverwater	Bacteria	Bacteroidetes
SRR10070134	Bacteria;Acidobacteria	0.006168346040381595	Riverwater	Bacteria	Acidobacteria
SRR10070134	Bacteria;Actinobacteria	0.007713625276170773	Riverwater	Bacteria	Actinobacteria
SRR10070134	Bacteria;Planctomycetes	0.0020816571523440994	Riverwater	Bacteria	Planctomycetes
SRR10070134	Archaea;Thaumarchaeota	0.002119969860669451	Riverwater	Archaea	Thaumarchaeota
SRR10070134	Bacteria;Firmicutes	0.009654802497988583	Riverwater	Bacteria	Firmicutes
SRR10070134	Bacteria;Chloroflexi	0.0005236070137798041	Riverwater	Bacteria	Chloroflexi
SRR10070134	Bacteria;Ignavibacteriae	0.0004342106943539839	Riverwater	Bacteria	Ignavibacteriae
SRR10070134	Archaea;	0.0008811922914830849	Riverwater	Archaea	Unclassified
SRR10070134	Bacteria;Gemmatimonadetes	0.0002554180555023435	Riverwater	Bacteria	Gemmatimonadetes
SRR10070134	Bacteria;Verrucomicrobia	0.010625391108897488	Riverwater	Bacteria	Verrucomicrobia
SRR10070134	Bacteria;Candidatus_Saccharibacteria	0.021799931037125013	Riverwater	Bacteria	Candidatus_Saccharibacteria
SRR10070134	Archaea;Crenarchaeota	0.00016602173607652325	Riverwater	Archaea	Crenarchaeota
SRR10070134	Bacteria;Parcubacteria	0.0019411772218178103	Riverwater	Bacteria	Parcubacteria
SRR10070134	Bacteria;Latescibacteria	0.0011366103469854284	Riverwater	Bacteria	Latescibacteria
SRR10070134	Archaea;Woesearchaeota	0.004048376179712144	Riverwater	Archaea	Woesearchaeota
SRR10070134	Bacteria;Nitrospirae	0.003933438054736089	Riverwater	Bacteria	Nitrospirae
SRR10070134	Archaea;Pacearchaeota	0.00037035618047839803	Riverwater	Archaea	Pacearchaeota
SRR10070134	Archaea;Euryarchaeota	0.00021710534717699195	Riverwater	Archaea	Euryarchaeota
SRR10070134	Bacteria;Campilobacterota	0.0247627804809522	Riverwater	Bacteria	Campilobacterota
SRR10070134	Bacteria;Spirochaetes	0.000051083611100468695	Riverwater	Bacteria	Spirochaetes
SRR10070134	Bacteria;Fusobacteria	0.00370356180478398	Riverwater	Bacteria	Fusobacteria
SRR10070134	Bacteria;Lentisphaerae	0.00038312708325351517	Riverwater	Bacteria	Lentisphaerae
SRR10070141	Bacteria;Proteobacteria	0.6493791809631951	Groundwater	Bacteria	Proteobacteria
SRR10070141	Bacteria;	0.10377428352793068	Groundwater	Bacteria	Unclassified
SRR10070141	Bacteria;Bacteroidetes	0.01508232331959221	Groundwater	Bacteria	Bacteroidetes
SRR10070141	Bacteria;Acidobacteria	0.01814322035990225	Groundwater	Bacteria	Acidobacteria
SRR10070141	Bacteria;Actinobacteria	0.011898003011527733	Groundwater	Bacteria	Actinobacteria
SRR10070141	Bacteria;Planctomycetes	0.003036212386759152	Groundwater	Bacteria	Planctomycetes
SRR10070141	Archaea;Thaumarchaeota	0.1074769815605638	Groundwater	Archaea	Thaumarchaeota
SRR10070141	Bacteria;Firmicutes	0.03246031941941695	Groundwater	Bacteria	Firmicutes
SRR10070141	Bacteria;Chloroflexi	0.00044432376391597344	Groundwater	Bacteria	Chloroflexi
SRR10070141	Bacteria;Ignavibacteriae	0.0005677470316704105	Groundwater	Bacteria	Ignavibacteriae
SRR10070141	Archaea;	0.0009873861420354965	Groundwater	Archaea	Unclassified
SRR10070141	Bacteria;Gemmatimonadetes	0.0025918886228431786	Groundwater	Bacteria	Gemmatimonadetes
SRR10070141	Bacteria;Verrucomicrobia	0.012292957468341931	Groundwater	Bacteria	Verrucomicrobia
SRR10070141	Bacteria;Candidatus_Saccharibacteria	0.02270988126681642	Groundwater	Bacteria	Candidatus_Saccharibacteria
SRR10070141	Bacteria;Parcubacteria	0.002345042087334304	Groundwater	Bacteria	Parcubacteria
SRR10070141	Archaea;Woesearchaeota	0.006887018340697588	Groundwater	Archaea	Woesearchaeota
SRR10070141	Bacteria;Nitrospirae	0.003036212386759152	Groundwater	Bacteria	Nitrospirae
SRR10070141	Archaea;Pacearchaeota	0.0012836019846461455	Groundwater	Archaea	Pacearchaeota
SRR10070141	Archaea;Euryarchaeota	0.003752067339734887	Groundwater	Archaea	Euryarchaeota
SRR10070141	Bacteria;Campilobacterota	0.0014070252524005825	Groundwater	Bacteria	Campilobacterota
SRR10070141	Archaea;Diapherotrites	0.0003949544568141986	Groundwater	Archaea	Diapherotrites
SRR10070141	Bacteria;Lentisphaerae	0.000049369307101774825	Groundwater	Bacteria	Lentisphaerae
SRR10070149	Bacteria;Proteobacteria	0.3921397243596747	Sediment	Bacteria	Proteobacteria
SRR10070149	Bacteria;	0.15864146467090168	Sediment	Bacteria	Unclassified
SRR10070149	Bacteria;Bacteroidetes	0.027501599837675007	Sediment	Bacteria	Bacteroidetes
SRR10070149	Bacteria;Acidobacteria	0.12196225943904228	Sediment	Bacteria	Acidobacteria
SRR10070149	Bacteria;Actinobacteria	0.024614087936443523	Sediment	Bacteria	Actinobacteria
SRR10070149	Bacteria;Planctomycetes	0.015342833507624592	Sediment	Bacteria	Planctomycetes
SRR10070149	Archaea;Thaumarchaeota	0.044311601554573976	Sediment	Archaea	Thaumarchaeota
SRR10070149	Bacteria;Firmicutes	0.021960698621798374	Sediment	Bacteria	Firmicutes
SRR10070149	Bacteria;Chloroflexi	0.06020072109756668	Sediment	Bacteria	Chloroflexi
SRR10070149	Bacteria;Ignavibacteriae	0.006805163183442851	Sediment	Bacteria	Ignavibacteriae
SRR10070149	Bacteria;candidate_division_WPS-1	0.0004214206558554059	Sediment	Bacteria	candidate_division_WPS-1
SRR10070149	Archaea;	0.005899889181975682	Sediment	Archaea	Unclassified
SRR10070149	Bacteria;Gemmatimonadetes	0.005337994974168475	Sediment	Bacteria	Gemmatimonadetes
SRR10070149	Bacteria;Verrucomicrobia	0.03004573194524653	Sediment	Bacteria	Verrucomicrobia
SRR10070149	Bacteria;Candidatus_Saccharibacteria	0.0020602787619597622	Sediment	Bacteria	Candidatus_Saccharibacteria
SRR10070149	Archaea;Crenarchaeota	0.03235574146623172	Sediment	Archaea	Crenarchaeota
SRR10070149	Bacteria;Aminicenantes	0.014952629196647365	Sediment	Bacteria	Aminicenantes
SRR10070149	Bacteria;Latescibacteria	0.0057906319749020585	Sediment	Bacteria	Latescibacteria
SRR10070149	Bacteria;Armatimonadetes	0.001732507140738891	Sediment	Bacteria	Armatimonadetes
SRR10070149	Archaea;Woesearchaeota	0.000437028828294495	Sediment	Archaea	Woesearchaeota
SRR10070149	Bacteria;Nitrospirae	0.016544662785434452	Sediment	Bacteria	Nitrospirae
SRR10070149	Archaea;Pacearchaeota	0.00017168989682998017	Sediment	Archaea	Pacearchaeota
SRR10070149	Archaea;Euryarchaeota	0.005369211319046652	Sediment	Archaea	Euryarchaeota
SRR10070149	Bacteria;Campilobacterota	0.0006087187251244752	Sediment	Bacteria	Campilobacterota
SRR10070149	Bacteria;Spirochaetes	0.0030904181429396434	Sediment	Bacteria	Spirochaetes
SRR10070149	Bacteria;Hydrogenedentes	0.0006399350700026534	Sediment	Bacteria	Hydrogenedentes
SRR10070149	Bacteria;Deferribacteres	0.0010613557258580594	Sediment	Bacteria	Deferribacteres
SRR10070150	Bacteria;Proteobacteria	0.3981463995700112	Sediment	Bacteria	Proteobacteria
SRR10070150	Bacteria;	0.15511555949389155	Sediment	Bacteria	Unclassified
SRR10070150	Bacteria;Bacteroidetes	0.03274306715669897	Sediment	Bacteria	Bacteroidetes
SRR10070150	Bacteria;Acidobacteria	0.11646014613809033	Sediment	Bacteria	Acidobacteria
SRR10070150	Bacteria;Actinobacteria	0.018448844405061084	Sediment	Bacteria	Actinobacteria
SRR10070150	Bacteria;Planctomycetes	0.015819520911111433	Sediment	Bacteria	Planctomycetes
SRR10070150	Archaea;Thaumarchaeota	0.02983773732913029	Sediment	Archaea	Thaumarchaeota
SRR10070150	Bacteria;Firmicutes	0.02311189877830881	Sediment	Bacteria	Firmicutes
SRR10070150	Bacteria;Chloroflexi	0.06583477389270617	Sediment	Bacteria	Chloroflexi
SRR10070150	Bacteria;Ignavibacteriae	0.010706140414590566	Sediment	Bacteria	Ignavibacteriae
SRR10070150	Bacteria;candidate_division_WPS-1	0.00023242638620549398	Sediment	Bacteria	candidate_division_WPS-1
SRR10070150	Archaea;	0.00697279158616482	Sediment	Archaea	Unclassified
SRR10070150	Bacteria;Gemmatimonadetes	0.004459681285317916	Sediment	Bacteria	Gemmatimonadetes
SRR10070150	Bacteria;Verrucomicrobia	0.02656924127311553	Sediment	Bacteria	Verrucomicrobia
SRR10070150	Bacteria;Candidatus_Saccharibacteria	0.003036069669809265	Sediment	Bacteria	Candidatus_Saccharibacteria
SRR10070150	Archaea;Crenarchaeota	0.040979677217856156	Sediment	Archaea	Crenarchaeota
SRR10070150	Bacteria;Aminicenantes	0.015296561542149072	Sediment	Bacteria	Aminicenantes
SRR10070150	Bacteria;Latescibacteria	0.005113380496520868	Sediment	Bacteria	Latescibacteria
SRR10070150	Bacteria;Armatimonadetes	0.001743197896541205	Sediment	Bacteria	Armatimonadetes
SRR10070150	Archaea;Woesearchaeota	0.0004503261232731446	Sediment	Archaea	Woesearchaeota
SRR10070150	Bacteria;Nitrospirae	0.014526649137843373	Sediment	Bacteria	Nitrospirae
SRR10070150	Archaea;Pacearchaeota	0.0005374860181002048	Sediment	Archaea	Pacearchaeota
SRR10070150	Archaea;Euryarchaeota	0.00955853513270094	Sediment	Archaea	Euryarchaeota
SRR10070150	Bacteria;Campilobacterota	0.00031958628103255423	Sediment	Bacteria	Campilobacterota
SRR10070150	Bacteria;Spirochaetes	0.002178997370676506	Sediment	Bacteria	Spirochaetes
SRR10070150	Bacteria;Hydrogenedentes	0.0006682258603407952	Sediment	Bacteria	Hydrogenedentes
SRR10070150	Bacteria;Deferribacteres	0.001133078632751783	Sediment	Bacteria	Deferribacteres
SRR10070151	Bacteria;Proteobacteria	0.41566136172874046	Sediment	Bacteria	Proteobacteria
SRR10070151	Bacteria;	0.17410839189611757	Sediment	Bacteria	Unclassified
SRR10070151	Bacteria;Bacteroidetes	0.03487434374022811	Sediment	Bacteria	Bacteroidetes
SRR10070151	Bacteria;Acidobacteria	0.11780582939714619	Sediment	Bacteria	Acidobacteria
SRR10070151	Bacteria;Actinobacteria	0.010269745395895393	Sediment	Bacteria	Actinobacteria
SRR10070151	Bacteria;Planctomycetes	0.013182798176461875	Sediment	Bacteria	Planctomycetes
SRR10070151	Archaea;Thaumarchaeota	0.011652211122265927	Sediment	Archaea	Thaumarchaeota
SRR10070151	Bacteria;Firmicutes	0.019700136600780106	Sediment	Bacteria	Firmicutes
SRR10070151	Bacteria;Chloroflexi	0.05719129046592387	Sediment	Bacteria	Chloroflexi
SRR10070151	Bacteria;Ignavibacteriae	0.012524481163904479	Sediment	Bacteria	Ignavibacteriae
SRR10070151	Bacteria;candidate_division_WPS-1	0.0003291585062786985	Sediment	Bacteria	candidate_division_WPS-1
SRR10070151	Archaea;	0.006237553693981337	Sediment	Archaea	Unclassified
SRR10070151	Bacteria;Gemmatimonadetes	0.004706966639785389	Sediment	Bacteria	Gemmatimonadetes
SRR10070151	Bacteria;Verrucomicrobia	0.025740195190994224	Sediment	Bacteria	Verrucomicrobia
SRR10070151	Bacteria;Candidatus_Saccharibacteria	0.0025180625730320434	Sediment	Bacteria	Candidatus_Saccharibacteria
SRR10070151	Archaea;Crenarchaeota	0.04119418706077912	Sediment	Archaea	Crenarchaeota
SRR10070151	Bacteria;Aminicenantes	0.016885831372097232	Sediment	Bacteria	Aminicenantes
SRR10070151	Bacteria;Latescibacteria	0.005003209295436217	Sediment	Bacteria	Latescibacteria
SRR10070151	Bacteria;Armatimonadetes	0.0020078668883000608	Sediment	Bacteria	Armatimonadetes
SRR10070151	Archaea;Woesearchaeota	0.0005760273859877224	Sediment	Archaea	Woesearchaeota
SRR10070151	Bacteria;Nitrospirae	0.016227514359539837	Sediment	Bacteria	Nitrospirae
SRR10070151	Archaea;Pacearchaeota	0.0004608219087901779	Sediment	Archaea	Pacearchaeota
SRR10070151	Archaea;Euryarchaeota	0.005315909876400981	Sediment	Archaea	Euryarchaeota
SRR10070151	Bacteria;Campilobacterota	0.0011191389213475748	Sediment	Bacteria	Campilobacterota
SRR10070151	Bacteria;Spirochaetes	0.00330804298810092	Sediment	Bacteria	Spirochaetes
SRR10070151	Bacteria;Hydrogenedentes	0.0006089432366155923	Sediment	Bacteria	Hydrogenedentes
SRR10070151	Bacteria;Deferribacteres	0.0007899804150688764	Sediment	Bacteria	Deferribacteres
SRR10102392	Bacteria;Proteobacteria	0.22117059135307035	Soil	Bacteria	Proteobacteria
SRR10102392	Bacteria;	0.025092753842659195	Soil	Bacteria	Unclassified
SRR10102392	Bacteria;Bacteroidetes	0.04197773907776179	Soil	Bacteria	Bacteroidetes
SRR10102392	Bacteria;Acidobacteria	0.2793518588627243	Soil	Bacteria	Acidobacteria
SRR10102392	Bacteria;Actinobacteria	0.08758991443931248	Soil	Bacteria	Actinobacteria
SRR10102392	Bacteria;Planctomycetes	0.011599909139092906	Soil	Bacteria	Planctomycetes
SRR10102392	Archaea;Thaumarchaeota	0.16732036041493148	Soil	Archaea	Thaumarchaeota
SRR10102392	Bacteria;Firmicutes	0.028318316044521844	Soil	Bacteria	Firmicutes
SRR10102392	Bacteria;Chloroflexi	0.007541455288861967	Soil	Bacteria	Chloroflexi
SRR10102392	Bacteria;candidate_division_WPS-1	0.004861058529567653	Soil	Bacteria	candidate_division_WPS-1
SRR10102392	Bacteria;Gemmatimonadetes	0.009176951616566972	Soil	Bacteria	Gemmatimonadetes
SRR10102392	Bacteria;Verrucomicrobia	0.10449004315893087	Soil	Bacteria	Verrucomicrobia
SRR10102392	Bacteria;Candidatus_Saccharibacteria	0.001983796471568108	Soil	Bacteria	Candidatus_Saccharibacteria
SRR10102392	Bacteria;Armatimonadetes	0.004164458241841448	Soil	Bacteria	Armatimonadetes
SRR10102392	Bacteria;BRC1	0.0003483001438631029	Soil	Bacteria	BRC1
SRR10102392	Bacteria;Nitrospirae	0.004527901870220338	Soil	Bacteria	Nitrospirae
SRR10102392	Archaea;Euryarchaeota	0.00048459150450518663	Soil	Archaea	Euryarchaeota
SRR10102393	Bacteria;Proteobacteria	0.211707370050093	Soil	Bacteria	Proteobacteria
SRR10102393	Bacteria;	0.023851865929978414	Soil	Bacteria	Unclassified
SRR10102393	Bacteria;Bacteroidetes	0.033979066831380744	Soil	Bacteria	Bacteroidetes
SRR10102393	Bacteria;Acidobacteria	0.24415242387630154	Soil	Bacteria	Acidobacteria
SRR10102393	Bacteria;Actinobacteria	0.09180999959273992	Soil	Bacteria	Actinobacteria
SRR10102393	Bacteria;Planctomycetes	0.012217802696061795	Soil	Bacteria	Planctomycetes
SRR10102393	Archaea;Thaumarchaeota	0.2124675888845146	Soil	Archaea	Thaumarchaeota
SRR10102393	Bacteria;Firmicutes	0.033395327369235575	Soil	Bacteria	Firmicutes
SRR10102393	Bacteria;Chloroflexi	0.00792799641611121	Soil	Bacteria	Chloroflexi
SRR10102393	Bacteria;candidate_division_WPS-1	0.00415405291666101	Soil	Bacteria	candidate_division_WPS-1
SRR10102393	Bacteria;Gemmatimonadetes	0.007249229599663331	Soil	Bacteria	Gemmatimonadetes
SRR10102393	Bacteria;Verrucomicrobia	0.10576544533890828	Soil	Bacteria	Verrucomicrobia
SRR10102393	Bacteria;Candidatus_Saccharibacteria	0.0005701641258162171	Soil	Bacteria	Candidatus_Saccharibacteria
SRR10102393	Bacteria;Armatimonadetes	0.0038146695084370717	Soil	Bacteria	Armatimonadetes
SRR10102393	Bacteria;BRC1	0.0006244654711320473	Soil	Bacteria	BRC1
SRR10102393	Bacteria;Nitrospirae	0.0060274493300571524	Soil	Bacteria	Nitrospirae
SRR10102393	Archaea;Euryarchaeota	0.00028508206290810855	Soil	Archaea	Euryarchaeota
SRR10102394	Bacteria;Proteobacteria	0.2152357026747451	Soil	Bacteria	Proteobacteria
SRR10102394	Bacteria;	0.020526082458992168	Soil	Bacteria	Unclassified
SRR10102394	Bacteria;Bacteroidetes	0.032377715383478646	Soil	Bacteria	Bacteroidetes
SRR10102394	Bacteria;Acidobacteria	0.2284173193438747	Soil	Bacteria	Acidobacteria
SRR10102394	Bacteria;Actinobacteria	0.11690557115413033	Soil	Bacteria	Actinobacteria
SRR10102394	Bacteria;Planctomycetes	0.011748189744347569	Soil	Bacteria	Planctomycetes
SRR10102394	Archaea;Thaumarchaeota	0.19379340919166543	Soil	Archaea	Thaumarchaeota
SRR10102394	Bacteria;Firmicutes	0.03902763410669425	Soil	Bacteria	Firmicutes
SRR10102394	Bacteria;Chloroflexi	0.011201418649327619	Soil	Bacteria	Chloroflexi
SRR10102394	Bacteria;candidate_division_WPS-1	0.0049652726466676515	Soil	Bacteria	candidate_division_WPS-1
SRR10102394	Bacteria;Gemmatimonadetes	0.007211467415398257	Soil	Bacteria	Gemmatimonadetes
SRR10102394	Bacteria;Verrucomicrobia	0.10848234077139057	Soil	Bacteria	Verrucomicrobia
SRR10102394	Bacteria;Candidatus_Saccharibacteria	0.0007536574552977686	Soil	Bacteria	Candidatus_Saccharibacteria
SRR10102394	Bacteria;Armatimonadetes	0.003561400916211024	Soil	Bacteria	Armatimonadetes
SRR10102394	Bacteria;BRC1	0.0004581055120437417	Soil	Bacteria	BRC1
SRR10102394	Bacteria;Nitrospirae	0.005024383035318457	Soil	Bacteria	Nitrospirae
SRR10102394	Archaea;Euryarchaeota	0.0003103295404167282	Soil	Archaea	Euryarchaeota
